filename,Notes,measured_cells,density_inv_model_S2,reff_inv_model_S2,dz_inv_model_S2,zen_inv_model_S2,algae_ppb_inv_model_S2,algae_cells_inv_model_S2,BDA2_centre,cells_BDA2_centre_wang,cells_BDA2_centre_new
13_7_SB1,,2688,850,800,0.08,40,0,0,0.969587036584209,424.04424150528,483.953057084436
13_7_SB2,,13375,850,700,0.03,50,5000,6515.40548282447,1.0174441534241,28632.6684708982,10108.0192535865
13_7_SB3,,938,900,900,2,45,0,0,0.984779220595092,1615.39197279825,3539.101261673
13_7_SB5,,0,800,800,1,50,0,0,0.970773696116665,470.745733942061,722.590289061336
14_7_SB1,,30313,850,800,0.02,55,12500,16288.5137070612,1.08991238980527,16800694.0125872,24681.3815898398
14_7_SB2,,3063,800,700,0.06,40,0,0,0.990867452261395,2760.76664930713,4763.44464976655
14_7_SB3,,7938,850,800,0.08,40,0,0,0.965908454699465,306.722922419654,-255.809759937576
14_7_SB5,,41000,850,800,0.02,40,30000,39092.4328969468,1.20108548876289,294276713728.086,47038.2917902172
14_7_SB6,,0,900,900,2,45,0,0,0.962355375251754,224.323303876277,-970.334036872257
14_7_SB9,,21875,800,800,0.02,55,7500,9773.1082242367,1.0786399808892,6234854.15761169,22414.5001568181
14_7_SB10,,24875,800,800,0.02,50,17500,22803.9191898856,1.11685397953457,179497466.820324,30099.335284402
15_7_SB1,,1438,700,700,0.06,55,0,0,0.992427864609446,3167.24222490118,5077.24357295962
15_7_SB2,,7250,800,700,0.04,55,0,0,0.959760109194107,178.495042499953,-1492.24204106507
15_7_SB3,,30313,900,700,0.04,50,10000,13030.8109656489,1.07664221014883,5230282.69718487,22012.7484609297
15_7_SB4,,4250,600,900,0.04,55,0,0,0.974272683608289,640.584057789685,1426.23667362693
15_7_SB5,,938,600,900,0.08,40,0,0,0.988289166867738,2200.21144954684,4244.95145710211
17_7_SB1,,0,700,800,0.08,40,0,0,0.980794476512812,1137.45190263639,2737.76922672649
17_7_SB2,,0,800,800,1,40,0,0,0.997406324105139,4908.97815918856,6078.41177754346
20_7_SB2,,7562.5,750,700,0.03,55,0,0,1.00106526899194,6774.12794956321,6814.22559427912
20_7_SB3,,7625,700,800,0.03,45,7500,9773.1082242367,1.013113225814,19558.8309456162,9237.06971119542
21_7_SB2,,44861,850,800,0.03,40,30000,39092.4328969468,1.13031731982559,586197211.976957,32806.8130169261
21_7_SB4,,14313,750,700,0.02,55,12500,16288.5137070612,1.03015112642517,87589.1683451879,12663.3915241017
22_7_SB2,,15313,750,900,0.04,45,7500,9773.1082242367,1.03157984207244,99321.5902151676,12950.7062407677
22_7_SB3,,6688,750,700,0.03,55,0,0,1.01085462946277,16033.2274226073,8782.86598496305
22_7_SB5,,22813,800,800,0.02,50,25000,32577.0274141223,1.0965380745294,30084643.1551335,26013.8067878623
22_7_SB6,,0,900,700,0.06,45,5000,6515.40548282447,0.985,1647.09465616362,3583.5
22_7_SB7,,0,900,800,0.06,55,5000,6515.40548282447,0.946,53.1322521120411,-4259.39999999999
23_7_SB1,,250,700,800,0.08,40,0,0,0.9807034166513,1128.37005975652,2719.45708857643
23_7_SB2,,938,700,800,0.08,40,0,0,0.979328554652599,999.737686273913,2442.97234063767
23_7_SB4,,21125,800,700,0.03,45,5000,6515.40548282447,1.00391218244265,8703.05979344928,7386.73988921693
23_7_SB5,,28563,800,800,0.02,50,25000,32577.0274141223,1.10594968852552,68821269.011437,27906.4823624821
